SBA Physical Declaration Number,SBA EIDL Declaration ,FEMA Disaster Number,SBA Disaster ,Damaged Property City ,Damaged Property Zip,Damaged Property State Code,Total Verified ,Verified Loss Real Estate,Verified Loss Content,Total Approved ,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
14495,14496,4241,SC-00031,SIMPSONVILLE,29680,SC,28142,28142,0,38600,28200,0,10400
14495,14496,4241,SC-00031,SMOAKS,29481,SC,39926,39926,0,0,0,0,0
14495,14496,4241,SC-00031,SPARTANBURG,29303,SC,42376,42376,0,40000,40000,0,0
14495,14496,4241,SC-00031,St. George,29477,SC,29670,29670,0,25000,25000,0,0
14495,14496,4241,SC-00031,SULLIVANS ISLAND,29482,SC,59663,59663,0,59700,59700,0,0
14495,14496,4241,SC-00031,SUMMERTON,29148,SC,296485,242626,53859,119100,58700,50600,9800
14495,14496,4241,SC-00031,Summerton,29148,SC,52207,1693,50514,62100,1700,50600,9800
14495,14496,4241,SC-00031,SUMMERVILLE,29483,SC,98585,67071,31514,235800,40300,31500,164000
14495,14496,4241,SC-00031,SUMMERVILLE,29486,SC,669466,668616,850,421700,420900,800,0
14495,14496,4241,SC-00031,SUMMERVILLE,29485,SC,8425,0,8425,4500,0,4100,400
14495,14496,4241,SC-00031,SUMMERVILLE,29483,SC,2161906,2035799,126107,818700,766400,3800,48500
14495,14496,4241,SC-00031,SUMMERVILLE,29485,SC,2924937,2844097,80840,1918400,1746500,80700,91200
14495,14496,4241,SC-00031,Summerville,29483,SC,130653,125153,5500,0,0,0,0
14495,14496,4241,SC-00031,SUMTER,29153,SC,161796,160066,1730,6900,6900,0,0
14495,14496,4241,SC-00031,SUMTER,29150,SC,4345791,3931041,414750,1789500,1216000,80000,492100
14495,14496,4241,SC-00031,SUMTER,29151,SC,618676,618676,0,412200,390400,0,21800
14495,14496,4241,SC-00031,SUMTER,29153,SC,327987,268114,59873,73600,56600,15200,1800
14495,14496,4241,SC-00031,SUMTER,29154,SC,917958,818650,99308,278400,234500,17900,26000
14495,14496,4241,SC-00031,Sumter,29150,SC,663478,660678,2800,136000,133200,2800,0
14495,14496,4241,SC-00031,Sumter,29153,SC,38564,37464,1100,0,0,0,0
14495,14496,4241,SC-00031,SURFSIDE BCH,29575,SC,43381,36208,7173,18000,18000,0,0
14495,14496,4241,SC-00031,SURFSIDE BEACH,29575,SC,0,0,0,25000,0,0,25000
14495,14496,4241,SC-00031,SWANSEA,29160,SC,15470,15470,0,0,0,0,0
14495,14496,4241,SC-00031,SWANSEA,29160,SC,278731,276001,2730,361600,276100,0,85500
14495,14496,4241,SC-00031,TIMMONSBILLE,29161,SC,71414,71414,0,0,0,0,0
14495,14496,4241,SC-00031,TIMMONSVILLE,29161,SC,100427,99212,1215,24800,24800,0,0
14495,14496,4241,SC-00031,TIMMONSVILLE,29161,SC,898486,853979,44507,446400,446400,0,0
14495,14496,4241,SC-00031,TURBEVILLE,29162,SC,7371,7371,0,7400,7400,0,0
14495,14496,4241,SC-00031,TURBEVILLE,29162,SC,29484,29484,0,0,0,0,0
14495,14496,4241,SC-00031,VANCE,29163,SC,77652,77652,0,16600,16600,0,0
14495,14496,4241,SC-00031,WALTERBORO,29488,SC,153659,111494,42165,165600,23300,25400,116900
14495,14496,4241,SC-00031,WEDGEFIELD,29168,SC,272904,272904,0,0,0,0,0
14495,14496,4241,SC-00031,WEST COLUMBIA,29169,SC,18632,17902,730,168000,18000,0,150000
14495,14496,4241,SC-00031,WEST COLUMBIA,29170,SC,693512,634338,59174,485500,453600,1900,30000
14495,14496,4241,SC-00031,WEST COLUMBIA,29172,SC,46337,27837,18500,25000,25000,0,0
14495,14496,4241,SC-00031,WINNSBORO,29180,SC,24493,16493,8000,0,0,0,0
